months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39,claim_to_premium_ratio,policy_csl_limit
192,40,0,1000,1405.99,0,0,0,11,19,5,0,0,0,2,1,0,5,6,18,3,1,1,0,1,42930,9540,4770,28620,2,38,2005,0,,30.511943937057122,100
120,35,2,1000,1425.54,0,0,2,13,3,2,78300,0,0,0,2,0,4,5,22,3,0,2,0,0,51210,11380,5690,34140,5,16,2010,0,,35.898047022866514,100
270,45,2,1000,1038.09,0,0,1,5,9,0,0,-19700,0,0,1,1,1,6,18,3,0,1,1,1,89400,14900,7450,67050,11,21,1998,0,,86.03682067963315,500
319,47,1,500,1307.11,0,1,1,13,7,1,0,0,0,0,2,3,6,4,22,3,0,0,2,0,59730,10860,10860,38010,1,4,2005,0,,45.661297597296866,250
194,39,2,1000,1489.24,6000000,0,3,7,11,5,0,-45000,3,1,1,4,4,6,15,1,1,2,2,1,8060,1240,1240,5580,10,3,2004,0,,5.408524801374275,500
227,38,2,500,976.67,0,0,6,5,14,4,0,0,2,1,0,1,4,4,16,1,0,1,2,0,72200,14440,7220,50540,2,22,2013,1,,73.84904927020365,500
137,31,2,2000,1340.43,0,1,2,3,13,0,52700,-40600,0,2,1,0,0,0,6,3,0,1,2,0,50800,10160,10160,30480,0,23,2005,0,,37.87003421721595,250
244,40,2,2000,1267.81,5000000,0,5,3,18,5,0,0,3,1,3,4,0,4,10,1,0,2,1,0,6600,660,1320,4620,0,33,2005,0,,5.201724450469338,500
78,29,0,1000,1234.2,6000000,1,5,7,3,2,0,0,3,1,1,3,1,4,3,1,1,2,2,0,7500,750,1500,5250,9,26,2002,0,,6.071891191709844,250
200,35,1,2000,1318.06,0,1,2,3,18,5,57300,-80600,3,1,3,4,5,2,13,1,0,0,3,1,6490,1180,1180,4130,13,20,2002,0,,4.920170424393128,250
284,48,1,2000,769.95,0,1,5,9,12,1,0,-44200,0,2,0,0,1,2,16,2,0,2,3,0,60940,5540,11080,44320,1,4,2013,1,,79.04533367922693,500
275,41,2,2000,1514.72,0,1,2,13,2,3,35700,0,0,0,0,1,1,4,13,3,1,0,1,0,58300,5830,11660,40810,11,21,2007,0,,38.46356846911039,100
153,34,0,1000,873.64,4000000,0,0,8,19,0,800,0,0,0,1,2,4,1,9,3,0,2,1,0,68400,11400,11400,45600,5,14,2007,0,,78.20360376840758,500
134,32,0,500,1612.43,0,0,4,7,19,3,36400,0,2,2,2,1,5,6,2,1,0,2,1,1,64240,11680,11680,40880,2,0,2015,0,,39.815796160973825,500
31,36,0,2000,1318.24,9000000,0,1,9,11,1,0,-78600,1,1,3,4,6,0,9,1,0,0,1,1,4700,940,470,3290,4,27,2002,0,,3.5626572875291833,500
41,25,1,1000,1226.83,0,0,1,3,8,1,0,-56100,0,2,0,2,4,1,12,3,1,2,0,0,45120,0,5640,39480,0,23,2011,1,,36.747758240147256,100
127,29,2,2000,1326.44,5000000,0,2,11,2,3,0,0,0,0,2,1,4,0,12,2,1,1,1,0,66950,10300,10300,46350,10,2,1995,0,,50.4354245766287,250
61,23,0,2000,1136.83,4000000,0,0,12,8,3,0,-62400,2,2,0,3,1,1,14,1,0,0,3,0,98340,8940,17880,71520,6,6,2004,1,,86.42767372981905,250
207,42,0,2000,1322.78,0,1,6,4,19,3,55200,0,1,1,3,4,6,6,9,1,0,0,1,0,5900,590,590,4720,2,37,2007,0,,4.456933931620058,250
219,43,1,1000,1483.25,0,0,4,3,8,1,90700,-20800,0,0,0,0,0,5,3,3,0,1,1,0,70680,5890,11780,53010,5,16,2009,0,,47.6200101061142,100
271,42,0,500,1515.3,0,0,2,6,10,1,0,0,0,1,2,0,4,3,21,3,0,1,0,0,93720,17040,8520,68160,8,24,2005,0,,61.80834927125239,100
80,25,0,2000,1075.18,5000000,0,6,1,8,0,67700,-58400,3,1,1,4,2,4,5,1,0,2,0,1,6930,1260,630,5040,12,18,2001,0,,6.4394432158189145,100
325,47,1,1000,1690.27,0,0,0,10,10,1,61500,0,2,2,0,1,5,6,11,1,1,0,3,0,72930,6630,6630,59670,4,30,2006,1,,43.121441283769,500
29,25,0,2000,1352.83,0,1,5,4,16,3,0,-71700,0,1,1,2,4,2,4,4,1,1,2,1,64890,7210,7210,50470,9,29,2013,1,,47.93068553658879,250
295,48,2,1000,1148.73,0,0,1,6,11,5,0,0,1,1,3,4,6,1,6,1,0,1,2,1,5400,900,900,3600,10,3,1999,0,,4.696754890278587,250
239,42,0,1000,969.5,0,1,1,3,15,1,0,0,3,1,3,4,0,4,10,1,0,0,0,0,5600,700,700,4200,1,4,2007,0,,5.770221535291087,100
269,41,1,500,1463.82,0,0,1,10,19,1,0,-72300,2,1,1,3,4,3,23,1,1,0,0,0,79300,15860,15860,47580,10,1,2007,0,,54.13634439726383,100
80,27,0,1000,1474.17,0,0,1,12,8,4,0,0,2,2,0,3,6,3,13,1,1,1,0,1,52800,10560,5280,36960,10,3,2004,0,,35.79248493393982,100
279,41,0,500,1497.35,0,0,3,9,3,0,37300,-31700,0,0,1,1,0,4,16,3,0,2,3,0,28800,0,3600,25200,5,16,2013,0,,19.221143257583343,250
165,33,2,1000,1427.14,0,0,0,12,11,2,35300,-58100,1,1,1,3,6,3,3,1,0,1,1,0,2970,330,330,2310,12,18,2008,0,,2.079628047670396,100
350,54,2,500,1495.1,0,1,1,7,1,5,50500,0,0,2,2,3,4,3,15,3,0,0,0,0,93480,15580,7790,70110,3,25,2014,0,,62.48245438139162,500
295,49,0,500,1141.62,0,1,1,9,11,0,34300,-24300,3,1,1,4,6,1,4,1,1,1,3,1,4320,480,480,3360,8,12,2002,0,,3.7807845127864037,100
464,61,2,1000,1125.37,0,0,0,9,1,0,0,-56400,0,1,0,3,5,3,6,3,0,0,2,1,79800,6650,19950,53200,10,3,2000,1,,70.84705736125785,500
118,28,1,2000,1207.36,0,0,2,5,4,3,0,-57000,0,0,0,0,6,1,22,2,0,1,0,0,74200,7420,14840,51940,13,28,1997,0,,61.40554139494853,500
298,47,0,2000,1338.5,0,0,6,6,1,2,28800,0,2,0,0,1,1,4,1,1,0,0,0,0,70590,10860,10860,48870,10,2,2000,1,,52.69876819708847,500
87,31,1,1000,1074.07,0,0,5,11,5,0,0,-47500,0,1,0,1,1,6,16,3,0,0,3,1,60940,5540,11080,44320,9,35,2006,1,,56.684680997516445,500
261,42,2,500,1337.56,0,0,1,9,18,4,0,0,2,1,1,3,4,5,18,1,0,1,2,1,74700,7470,14940,52290,4,30,2010,0,,55.806239540999286,250
453,60,1,500,1298.91,6000000,1,6,2,7,4,52600,-38800,2,0,0,1,0,6,0,1,1,0,0,0,70000,14000,7000,49000,5,14,2015,1,,53.8498819149018,100
210,41,0,500,1222.75,0,1,2,3,14,2,0,-41000,0,1,2,2,6,1,12,3,0,2,0,0,81070,14740,14740,51590,2,37,2001,0,,66.24719101123596,500
168,32,1,1000,1059.52,0,1,4,10,4,3,0,-40600,0,2,0,2,5,2,13,2,0,1,1,0,57720,14430,9620,33670,10,2,2007,0,,54.42613057745257,100
390,51,2,2000,1124.38,0,1,0,1,15,2,0,0,3,1,1,4,5,4,9,1,1,1,1,1,7080,1180,1180,4720,5,14,2001,0,,6.291208302973217,250
258,46,1,1000,1110.37,10000000,1,4,6,10,2,34400,-56800,0,2,2,2,1,5,14,3,0,0,1,0,47700,4770,9540,33390,0,23,1997,1,,42.919999640083866,100
107,31,0,2000,1374.22,0,0,6,6,3,2,62000,-63100,2,1,1,3,4,2,16,1,0,0,3,0,51260,9320,9320,32620,11,21,2002,0,,37.274036154215324,500
225,41,2,2000,1103.58,0,1,2,3,8,4,41200,-36200,0,2,0,3,1,3,20,3,0,2,2,0,70400,6400,12800,51200,12,18,2011,1,,63.73463216788282,500
164,38,0,2000,1269.76,0,0,6,13,19,1,44300,0,2,1,1,1,1,2,4,1,0,1,3,1,90000,18000,9000,63000,5,16,2015,0,,70.82375901035601,250
245,39,2,500,964.79,8000000,0,0,0,4,0,58000,0,0,1,1,3,1,0,7,3,0,0,1,0,72820,13240,6620,52960,2,0,2010,0,,75.39941395127305,250
255,41,0,2000,1167.3,4000000,1,2,8,2,2,0,0,2,2,1,1,4,2,22,1,0,2,0,0,69300,13860,13860,41580,13,28,2000,0,,59.316956261234274,500
206,36,0,500,1625.45,4000000,0,4,7,18,2,0,-53700,2,0,0,0,1,4,11,1,0,2,1,0,76560,12760,12760,51040,5,16,2008,1,,47.07184358572351,500
203,38,0,500,1394.43,0,0,5,7,16,1,0,0,2,0,0,0,5,1,7,1,0,0,1,1,55440,0,6160,49280,9,26,1999,1,,39.729689056419886,250
22,25,2,2000,1053.24,0,0,1,9,12,2,51100,0,0,0,2,2,0,0,0,4,1,1,0,0,77130,8570,17140,51420,0,23,1995,0,,73.16170890878738,250
211,35,0,500,1040.75,0,0,3,9,13,1,0,0,2,1,2,0,6,3,1,1,1,1,1,0,42000,7000,7000,28000,2,37,2011,0,,40.316774658027356,100
206,39,1,1000,1302.4,6000000,1,3,2,7,4,47200,-69700,0,1,2,0,1,2,12,3,0,2,3,1,36300,3300,9900,23100,5,13,2013,0,,27.8502378394967,250
166,38,0,2000,1588.55,0,1,4,10,18,4,59600,-32100,2,2,2,2,6,1,8,1,0,0,0,0,40320,5760,5760,28800,11,19,2001,0,,25.365669529112015,100
165,32,1,500,1399.26,0,0,2,12,8,3,70500,0,1,1,1,3,3,4,9,1,0,2,0,0,3960,330,660,2970,2,22,1998,0,,2.8280462199877165,500
274,43,2,2000,1352.31,0,1,1,4,1,5,40700,-47300,2,0,0,1,1,3,22,1,1,0,3,1,63840,10640,10640,42560,2,37,2006,1,,47.173227124605596,100
81,28,0,1000,1139.0,6000000,0,5,11,17,0,42400,0,0,0,0,1,4,3,0,3,0,1,2,0,44730,4970,4970,34790,10,1,2000,1,,39.23684210526316,250
280,45,1,1000,1397.67,0,1,3,6,4,5,57900,0,0,0,1,2,1,0,0,3,1,1,2,0,84720,14120,14120,56480,5,13,1999,0,,60.57182895178991,250
194,39,1,500,823.17,0,1,5,0,13,3,0,0,0,0,0,2,6,1,3,3,0,2,2,0,61500,6150,12300,43050,4,30,2012,0,,74.62052731839306,250
112,27,2,500,965.13,0,0,5,12,8,4,60000,-54800,0,0,0,0,0,0,21,3,0,0,1,0,51000,8500,8500,34000,9,29,2013,0,,52.78792709055717,100
24,33,0,1000,1922.84,0,0,2,6,16,5,0,-45200,2,2,2,3,6,3,0,1,0,2,1,0,46800,4680,9360,32760,7,36,2002,0,,24.326347305389223,500
93,32,2,2000,1624.82,0,1,6,3,1,4,65300,-65600,2,2,1,0,6,3,16,1,0,1,1,0,78120,17360,8680,52080,2,0,2006,0,,48.04959958667011,250
171,34,1,2000,1277.25,0,0,1,3,19,2,84900,0,2,1,0,3,1,6,14,1,0,1,2,0,69200,13840,6920,48440,13,28,1996,1,,54.136514766282026,250
200,40,0,1000,1439.34,0,0,2,11,8,2,45300,-20400,3,1,1,3,5,5,9,1,0,0,0,0,3690,410,410,2870,5,13,2015,0,,2.5618951080994767,100
120,28,0,1000,1281.27,0,0,6,12,9,1,68900,0,0,1,1,1,4,6,9,3,0,0,3,0,65500,6550,6550,52400,2,37,2010,0,,51.08128553268813,250
325,46,0,500,1348.83,0,0,2,9,1,5,46300,-77500,0,1,1,1,0,6,21,3,0,1,2,1,76120,13840,6920,55360,12,9,1999,0,,56.39228643606973,500
124,32,0,1000,1198.15,0,0,4,7,10,1,0,-43200,0,0,2,2,5,6,19,3,0,0,2,1,73560,12260,12260,49040,2,37,1995,0,,61.34345161155818,250
211,35,2,2000,1221.22,0,1,5,6,4,2,76000,0,2,1,2,3,1,3,2,1,1,0,1,0,52030,9460,4730,37840,8,12,2008,0,,42.570077400140725,100
287,41,0,2000,968.74,0,1,5,13,18,5,0,-49000,3,1,3,4,4,4,9,1,0,2,3,0,5170,470,940,3760,11,15,2001,0,,5.3313259224121925,500
122,34,1,1000,1220.71,0,1,6,6,18,3,58600,-28700,1,1,1,4,4,3,5,1,0,2,1,1,8190,1890,1260,5040,3,32,2013,0,,6.703718558414026,250
22,29,1,2000,1238.62,6000000,1,4,3,19,2,0,-56200,2,1,0,0,4,6,14,1,0,2,3,0,70800,7080,14160,49560,0,23,2012,1,,57.11427695584131,250
106,31,0,2000,1320.75,0,0,3,4,18,5,54100,0,0,1,2,3,6,6,20,3,0,0,3,1,45630,5070,5070,35490,0,23,2011,0,,34.522413466994514,500
398,58,2,500,990.98,0,0,0,3,6,5,0,-57900,2,0,0,3,0,4,18,1,1,2,1,0,99320,7640,15280,76400,0,33,2002,1,,100.12298635053126,100
214,41,0,500,1398.51,4000000,1,5,12,14,1,0,-57100,0,2,0,1,0,3,13,3,0,2,0,0,64000,12800,6400,44800,2,38,1996,1,,45.7302913162464,500
209,38,2,500,1355.08,0,0,4,7,9,2,58100,0,2,0,1,1,6,4,21,1,0,1,1,0,47300,4730,4730,37840,9,29,2014,0,,34.87994808565867,100
82,27,0,1000,1384.51,0,1,6,0,15,1,13100,-38200,2,1,0,2,4,6,14,1,0,2,3,0,71680,8960,8960,53760,13,20,2007,1,,51.73546203203153,100
193,41,2,500,847.03,0,0,3,2,16,1,0,0,2,2,0,2,4,6,1,1,0,1,0,1,112320,17280,17280,77760,11,19,2011,1,,132.44814452318903,250
134,32,2,1000,1000.06,0,0,6,4,0,5,0,0,2,2,2,2,1,1,17,1,0,1,0,0,82720,7520,15040,60160,1,4,2014,0,,82.63240964577548,100
288,45,0,1000,1046.71,0,1,5,8,14,0,0,0,0,1,0,1,0,2,4,3,0,2,1,0,48060,10680,5340,32040,8,7,2009,0,,45.871472067652306,100
104,32,1,500,1158.03,0,1,2,3,11,3,31900,-44600,0,1,2,3,1,5,23,3,1,1,3,1,63570,9780,9780,44010,13,20,2006,1,,54.84758806933384,250
431,54,2,1000,1372.27,0,0,5,2,13,3,17600,0,0,1,2,1,6,1,13,3,0,2,3,0,63240,10540,10540,42160,11,15,1997,0,,46.050667385146404,100
